read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
3819_3LV7H5_2	318	R1_rc	23.0	20	14	6	0.7	1.0	65	82	R1_rc	40.0	20	20	0	1.0	1.0	31	51	False	True	False	NA
3820_3LV7H5_2	646	R1_rc	21.0	20	16	4	0.8	1.0	38	60	R1	22.5	20	16	4	0.8	1.0	22	44	True	True	True	R1_rc|R1
3821_3LV7H5_2	454	R1	18.0	20	14	6	0.7	1.0	28	52	R1	17.5	20	14	6	0.7	1.0	38	59	False	False	False	NA
3822_3LV7H5_2	801	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3823_3LV7H5_2	410	R1	18.0	20	18	2	0.9	1.0	19	54	R1	16.5	20	14	6	0.7	1.0	24	43	True	False	False	NA
3824_3LV7H5_2	288	R1	21.0	20	16	4	0.8	1.0	47	73	R1	20.0	20	16	4	0.8	1.0	31	56	True	True	True	R1|R1
3825_3LV7H5_2	241	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1	16.0	20	15	5	0.75	1.0	53	81	False	False	False	NA
3826_3LV7H5_2	604	R1	19.5	20	15	5	0.75	1.0	19	44	R1_rc	19.0	20	16	4	0.8	1.0	33	62	False	True	False	NA
3827_3LV7H5_2	971	R1	18.0	20	14	6	0.7	1.0	52	77	R1_rc	17.5	20	15	5	0.75	1.0	27	54	False	False	False	NA
3828_3LV7H5_2	430	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	33.0	20	18	2	0.9	1.0	58	78	True	True	True	R1|R1_rc
3829_3LV7H5_2	329	R1_rc	18.5	20	14	6	0.7	1.0	53	75	R1	21.0	20	14	6	0.7	1.0	15	34	False	False	False	NA
3830_3LV7H5_2	584	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	51	71	True	True	True	R1|R1_rc
3831_3LV7H5_2	139	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3832_3LV7H5_2	2320	R1	20.5	20	16	4	0.8	1.0	56	80	R1_rc	20.5	20	16	4	0.8	1.0	4	27	True	True	True	R1|R1_rc
3833_3LV7H5_2	1106	R1	17.5	20	12	8	0.6	1.0	38	56	R1	16.0	20	15	5	0.75	1.0	53	81	False	False	False	NA
3834_3LV7H5_2	292	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3835_3LV7H5_2	1380	R1	20.5	20	14	6	0.7	1.0	7	27	R1_rc	32.0	20	16	4	0.8	1.0	64	80	False	True	False	NA
3836_3LV7H5_2	1403	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1	16.0	20	14	6	0.7	1.0	53	79	False	False	False	NA
3837_3LV7H5_2	302	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1_rc	20.5	20	14	6	0.7	1.0	15	35	False	False	False	NA
3838_3LV7H5_2	443	R1_rc	24.0	20	16	4	0.8	1.0	31	52	R1_rc	40.0	20	20	0	1.0	1.0	31	51	True	True	True	R1_rc|R1_rc
3839_3LV7H5_2	1012	R1_rc	17.5	20	14	6	0.7	1.0	61	82	R1	19.5	20	17	3	0.85	1.0	4	33	False	True	False	NA
3840_3LV7H5_2	151	R1_rc	17.5	20	16	4	0.8	1.0	10	39	R1_rc	17.5	20	15	5	0.75	1.0	14	43	True	False	False	NA
3841_3LV7H5_2	385	R1_rc	20.0	20	14	6	0.7	1.0	54	76	R1	20.0	20	13	7	0.65	1.0	7	25	False	False	False	NA
3842_3LV7H5_2	227	R1	40.0	20	20	0	1.0	1.0	7	27	R1	17.5	20	15	5	0.75	1.0	11	37	True	False	False	NA
3843_3LV7H5_2	287	R1_rc	20.5	20	17	3	0.85	1.0	24	55	R1	16.5	20	13	7	0.65	1.0	3	24	True	False	False	NA
3844_3LV7H5_2	225	R1	23.0	20	13	7	0.65	1.0	39	54	R1	24.0	20	16	4	0.8	1.0	28	49	False	True	False	NA
3845_3LV7H5_2	214	R1	38.0	20	20	0	1.0	1.0	7	28	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3846_3LV7H5_2	454	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3847_3LV7H5_2	571	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3848_3LV7H5_2	428	R1_rc	19.0	20	15	5	0.75	1.0	30	57	R1_rc	18.5	20	15	5	0.75	1.0	4	30	False	False	False	NA
3849_3LV7H5_2	2115	R1	28.0	20	14	6	0.7	1.0	6	20	R1_rc	28.0	20	14	6	0.7	1.0	65	79	False	False	False	NA
